DistVDC	No.
Achham-BABALA	59.0
Achham-BAIJINATH	11.0
Achham-BANNATOLI	61.0
Achham-BARADADIVI	55.0
Achham-BASTI	64.0
Achham-BATULASEN	42.0
Achham-BAYALA	60.0
Achham-BHAGYASWORI	27.0
Achham-BHAIRABSTHAN	43.0
Achham-BHATAKATIYA	46.0
Achham-BHULI	50.0
Achham-BINAYAK	68.0
Achham-BINDHYAWASINI	36.0
Achham-BIRPATH	38.0
Achham-BUDHAKOT	29.0
Achham-CHALSA	34.0
Achham-CHANDIKA (BAYALPATA)	35.0
Achham-CHAPHAMANDAU	18.0
Achham-DARNA	44.0
Achham-DEVISTHAN	37.0
Achham-DHAKARI	56.0
Achham-DHAKU	23.0
Achham-DHAMALI	56.0
Achham-DHODASAIN	48.0
Achham-DHUDHARUKOT	61.0
Achham-DHUNGACHALNA	62.0
Achham-DUNI	43.0
Achham-GAJARA	31.0
Achham-HATIKOT	26.0
Achham-HICHMA	89.0
Achham-JALAPADEVI	50.0
Achham-JANALIBANDALI	38.0
Achham-JANALIKOT	30.0
Achham-JUPU	55.0
Achham-KALAGAU	58.0
Achham-KALEKANDA	35.0
Achham-KALIKA	59.0
Achham-KALIKASTHAN	58.0
Achham-KHAPTAD	25.0
Achham-KHODASADEVI	55.0
Achham-KUIKA	60.0
Achham-KUNTIBANDALI	39.0
Achham-KUSHKOT	50.0
Achham-LAYATI	26.0
Achham-LUNGRA	65.0
Achham-MALATIKOT	24.0
Achham-MANGALSEN	116.0
Achham-MARKU	43.0
Achham-MASHTANAMDALI	26.0
Achham-MASTAMANDAU	45.0
Achham-NADA	46.0
Achham-NANDEGADA	40.0
Achham-NAWATHANA	30.0
Achham-OLIGAU	64.0
Achham-PATALKOT	39.0
Achham-PAYAL	95.0
Achham-PULLETALA	26.0
Achham-RAHAPH	72.0
Achham-RAMAROSAN	50.0
Achham-RANIBAN	46.0
Achham-RIDIKOT	26.0
Achham-RISIDAHA	63.0
Achham-SANTADA	38.0
Achham-SERA	38.0
Achham-SIDDHESWOR	57.0
Achham-SIUDI	77.0
Achham-SOUKAT	106.0
Achham-SUTAR	42.0
Achham-THANTI	36.0
Achham-TIMILSAIN	23.0
Achham-TOLI	41.0
Achham-TOSI	19.0
Achham-TURMAKHAD	41.0
Achham-WALANT	53.0
Achham-WARLA	32.0
Arghakhanchi-ADGURI	81.0
Arghakhanchi-ARGHA	106.0
Arghakhanchi-ARGHATOS	81.0
Arghakhanchi-ASURKOT	36.0
Arghakhanchi-BALKOT	94.0
Arghakhanchi-BANGI	47.0
Arghakhanchi-BANGLA	121.0
Arghakhanchi-BHAGAWATI	73.0
Arghakhanchi-CHHATRAGANJ	57.0
Arghakhanchi-CHIDIKA	70.0
Arghakhanchi-DHAKAWANG	131.0
Arghakhanchi-DHANCHAUR	57.0
Arghakhanchi-DHARAPANI	110.0
Arghakhanchi-DHATIWANG	48.0
Arghakhanchi-DHIKURA	91.0
Arghakhanchi-DIBHARNA	114.0
Arghakhanchi-GORKHUNGA	70.0
Arghakhanchi-HANSAPUR	156.0
Arghakhanchi-JUKENA	102.0
Arghakhanchi-JULUKE	102.0
Arghakhanchi-KEEMADADA	74.0
Arghakhanchi-KERUNGA	111.0
Arghakhanchi-KHAN	83.0
Arghakhanchi-KHANCHIKOT	56.0
